# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Lily Hampton and Eliza Kennedy (Keewong): The burba (initiation ceremonies)". Donaldson (1977), p. 361 makes the following remarks about the text: "The narrators recall memories of the last burba which took place in Waga:ybuwan country, at giranhanga (West McDonalds Tank) in 1912. Speakers who contriouted texts or recorded songs were in their teens at that time, [...]"
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	gadurlugal ya:ynjdjibu gurimiyi
<line_55>	gira:mbuwan bala waŋa:ydjildhan ŋiyanuna dhi:rbagiri
<segmentation>	gira:m-buwan bala / waŋa:y-djil-dhan ŋiyanu-na dhi:rba-giri
<glossing>	leaf-COMIT head+ABS NEG-IMPOSS-LING EVID we+PL-EXC know-PURP
<translation>	( They ) had leaves ( on their ) heads , so that we wouldn't be able to recognise ( them ) .

<line_56>	gunumanhi dhugaynambula: bibuwanhi
<segmentation>	gunuma-nhi dhugay=nam-bula: bibuwa-nhi
<glossing>	energetically move-PAST indeed=3ABS-DU run-PAST
<translation>	They ran really hard .

<line_57>	gaɽibanhi ŋiyanigi:nanhdhi
<segmentation>	gaɽiba-nhi ŋiyanigi:-nanh-dhi
<glossing>	run away-PAST we+PL+OBL-EXC-CIRC
<translation>	( They ) ran away from us .
